structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-3a72adf720,G-X,R,False,S,True,True,False,6,7,,,,control_groups_gt_5
S3-3f8fd3359c,G-X,R,False,S,True,True,True,7,8,,,,control_groups_gt_5
S3-2b579e11ae,G-X,R,False,X,False,False,False,4,6,1.0000000000000002,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-02954b535f,G-X,R,False,X,False,False,True,4,7,1.0000000000000002,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-08d2ea1b68,G-X,R,False,X,False,True,False,5,7,1.0000000000000002,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-62f44e7cc6,G-X,R,False,X,False,True,True,6,8,,,,control_groups_gt_5
S3-c391e1e686,G-X,R,False,X,True,False,False,5,6,-1.1102230246251565e-15,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-96ff75100e,G-X,R,False,X,True,False,True,5,7,-1.1102230246251565e-15,-1.0000000000000018,-1.0,no_intrinsic_DATA_compression
S3-7383568126,G-X,R,False,X,True,True,False,6,7,,,,control_groups_gt_5
S3-55d45c1e0a,G-X,R,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-80d206780e,G-X,R,True,G,False,False,False,5,6,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-b908220d02,G-X,R,True,G,False,False,True,5,7,1.0,-1.0,-1.0,no_intrinsic_DATA_compression
S3-e4ac11c906,G-X,R,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-23d4a375a7,G-X,R,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-53774c0ee7,G-X,R,True,G,True,False,False,5,6,-3.3306690738754696e-16,-1.0000000000000018,-0.9999999999999996,no_intrinsic_DATA_compression
S3-e058ffa811,G-X,R,True,G,True,False,True,5,7,-3.3306690738754696e-16,-1.0000000000000018,-0.9999999999999996,no_intrinsic_DATA_compression
