candidate_id,c_st_ff,c_data_ff,gref_tech,xref_tech,sclamp_tech,data_tech,em_tech,address_us,reset_us,comp_us,source_prep_us,write_us,dead_we_us,functional,score,compression_ratio,source_tracking_gain,vgs_source_sensitivity_pct,hold_droop_60hz_pct,comp_settling_pct,source_prep_settling_pct,write_settling_pct,em_drop_at_300na_mv,total_cap_ff,pareto
V2-27AD8C8C92,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.05,0.5,8.0,0.25,0.25,0.05,False,-47.30028836729281,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-F93BF16EF5,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.1,0.5,8.0,0.25,0.25,0.1,False,-47.308657992355606,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-1F413B9EC5,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.3,0.5,8.0,0.25,0.5,0.05,False,-47.34208423145686,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-A6014093AF,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.35,0.5,8.0,0.25,0.5,0.1,False,-47.3504277422661,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-4B8F33147B,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.8,0.5,8.0,0.25,1.0,0.05,False,-47.425285142054804,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-E3D2007028,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.85,0.5,8.0,0.25,1.0,0.1,False,-47.43357666854172,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-9EA787FFA4,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.3,0.5,8.0,0.5,0.25,0.05,False,-47.34208423145686,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-7A900DD9C1,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.35,0.5,8.0,0.5,0.25,0.1,False,-47.3504277422661,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-6D7EC21B43,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.55,0.5,8.0,0.5,0.5,0.05,False,-47.38374968741434,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-CAC5B3B406,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.6,0.5,8.0,0.5,0.5,0.1,False,-47.3920671654497,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-8857B40226,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.05,0.5,8.0,0.5,1.0,0.05,False,-47.46669100099826,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-4069BAD33F,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.1,0.5,8.0,0.5,1.0,0.1,False,-47.47495665690873,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-53F21EAF91,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.8,0.5,8.0,1.0,0.25,0.05,False,-47.425285142054804,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-B459C2C3D5,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,9.85,0.5,8.0,1.0,0.25,0.1,False,-47.43357666854172,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-4E43D04104,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.05,0.5,8.0,1.0,0.5,0.05,False,-47.46669100099826,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-8F8D31A996,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.1,0.5,8.0,1.0,0.5,0.1,False,-47.47495665690873,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-B980740939,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.55,0.5,8.0,1.0,1.0,0.05,False,-47.549115547950194,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-F355FE8ABD,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,10.6,0.5,8.0,1.0,1.0,0.1,False,-47.55732970461401,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,89.82986076957732,100.0,100.0,9.0,50,False
V2-80B8D61E19,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.05,0.5,16.0,0.25,0.25,0.05,False,-48.575046856015156,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-4DBF752BF0,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.1,0.5,16.0,0.25,0.25,0.1,False,-48.58262000594691,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-D913D86433,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.3,0.5,16.0,0.25,0.5,0.05,False,-48.612865317829936,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-F2FB7B62C4,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.35,0.5,16.0,0.25,0.5,0.1,False,-48.62041483860793,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-0FC7AB560D,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.8,0.5,16.0,0.25,1.0,0.05,False,-48.68814861495363,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-A516DF2D26,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.85,0.5,16.0,0.25,1.0,0.1,False,-48.69565109837162,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
V2-F00F161A66,40,10,IGZO,IGZO,IGZO,IGZO,LTPS,17.3,0.5,16.0,0.5,0.25,0.05,False,-48.612865317829936,0.18867924528301888,0.8955223880597015,10.447761194029848,0.8269491835071197,98.96568268033818,100.0,100.0,9.0,50,False
